"Name","Id","CPU","StartTime","Threads","Path"
"AggregatorHost","5480",,,"4",
"AppHelperCap","2096",,,"3",
"ApplicationFrameHost","11012","0.1875","7/23/2025 6:28:08 AM","3","C:\Windows\system32\ApplicationFrameHost.exe"
"audiodg","3272","0.328125","7/23/2025 8:15:22 PM","5",
"Code","568","12.171875","7/23/2025 8:10:02 PM","60","C:\Users\ewdhp\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","1656","0.015625","7/23/2025 8:10:02 PM","8","C:\Users\ewdhp\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","2660","1.234375","7/23/2025 8:10:03 PM","25","C:\Users\ewdhp\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","3576","128.65625","7/23/2025 8:10:02 PM","19","C:\Users\ewdhp\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","7752","24.53125","7/23/2025 8:10:09 PM","16","C:\Users\ewdhp\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","8212","149.40625","7/23/2025 8:10:02 PM","16","C:\Users\ewdhp\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","8752","2.34375","7/23/2025 8:10:03 PM","19","C:\Users\ewdhp\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","8920","4.5625","7/23/2025 8:10:03 PM","20","C:\Users\ewdhp\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","9388","1.0625","7/23/2025 8:10:02 PM","18","C:\Users\ewdhp\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","9940","17.765625","7/23/2025 8:10:03 PM","21","C:\Users\ewdhp\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","10544","0.203125","7/23/2025 8:10:54 PM","10","C:\Users\ewdhp\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"CodeSetup-stable-c306e94f98122556ca081f527b466015e1bc37b0","2240","0.140625","7/23/2025 8:10:38 PM","3","C:\Users\ewdhp\AppData\Local\Temp\vscode-stable-user-x64\CodeSetup-stable-c306e94f98122556ca081f527b466015e1bc37b0.exe"
"CodeSetup-stable-c306e94f98122556ca081f527b466015e1bc37b0.tmp","10128","11.359375","7/23/2025 8:10:38 PM","3","C:\Users\ewdhp\AppData\Local\Temp\is-IMVHU.tmp\CodeSetup-stable-c306e94f98122556ca081f527b466015e1bc37b0.tmp"
"CompPkgSrv","11060","0.046875","7/23/2025 6:33:28 AM","1","C:\Windows\System32\CompPkgSrv.exe"
"conhost","468","0.015625","7/23/2025 8:10:05 PM","2","C:\Windows\system32\conhost.exe"
"conhost","2768","0.171875","7/23/2025 7:13:57 AM","3","C:\Windows\system32\conhost.exe"
"conhost","8244","0","7/23/2025 8:10:05 PM","5","C:\Windows\system32\conhost.exe"
"conhost","11392","0.03125","7/23/2025 8:11:40 PM","7","C:\Windows\system32\conhost.exe"
"Copilot","9056","284.984375","7/23/2025 6:59:06 AM","37","C:\Program Files\WindowsApps\Microsoft.Copilot_1.25071.125.0_x64__8wekyb3d8bbwe\Copilot.exe"
"csrss","592",,,"11",
"csrss","9592",,,"13",
"ctfmon","2600","3.3125","7/23/2025 6:27:45 AM","10",
"CxAudioSvc","3836",,,"9",
"DiagsCap","2112",,,"3",
"dllhost","32","0.15625","7/23/2025 7:13:55 AM","7","C:\Windows\system32\DllHost.exe"
"dllhost","5328",,,"4",
"dwm","8620",,,"14",
"explorer","6624","12.671875","7/23/2025 6:27:43 AM","70","C:\Windows\Explorer.EXE"
"fontdrvhost","388",,,"5",
"fontdrvhost","4452",,,"5",
"HotkeyServiceDSU","3404",,,"4",
"Idle","0",,,"6",
"igfxCUIService","2020",,,"2",
"igfxEM","1456","0.3125","7/23/2025 6:27:43 AM","3","C:\Windows\System32\DriverStore\FileRepository\cui_dch.inf_amd64_98728bfffafc23c2\igfxEM.exe"
"IntelCpHDCPSvc","1276",,,"4",
"IntelCpHeciSvc","1436",,,"4",
"jhi_service","3900",,,"2",
"LanWlanWwanSwitchingServiceDSU","4828",,,"4",
"LMS","3944",,,"6",
"LockApp","8368","0.34375","7/23/2025 6:27:46 AM","14","C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe"
"lsass","776",,,"9",
"Memory Compression","1928",,,"42",
"MicrosoftEdgeUpdate","1588",,,"4",
"MpDefenderCoreService","9808",,,"10",
"msedge","584","0.046875","7/23/2025 6:56:47 AM","10","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","1548","0.0625","7/23/2025 7:25:12 AM","8","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","4612","34.84375","7/23/2025 6:56:47 AM","20","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","4932","65.046875","7/23/2025 7:24:27 AM","17","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","5448","0","7/23/2025 6:56:47 AM","7","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","6728","0.09375","7/23/2025 7:24:27 AM","13","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","10304","0.625","7/23/2025 6:56:47 AM","19","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
